FECHA,PRECIP,EVAP,TMAX,TMIN
26/04/1969,0,4.7,30.5,23.5
27/04/1969,0,4.8,32.5,26.5
28/04/1969,0,4.2,33,26.5
29/04/1969,0,4.3,32,25.5
30/04/1969,0,3.9,31.5,26
1/5/69,0,7.2,30.5,25
2/5/69,0,4.5,31.5,26
3/5/69,0,3.6,30.5,26.5
4/5/69,0,3.7,32,26.5
5/5/69,0,3.2,31,27
6/5/69,0,5.3,31,27
7/5/69,0,5.2,30.5,26.5
8/5/69,0,8,29.5,NA
9/5/69,0,10.5,28.5,27
10/5/69,0,7.9,32,26.5
11/5/69,0,7.7,32.5,27
12/5/69,0,8.6,32,24
13/05/1969,0,6.5,31.5,25.5
14/05/1969,0,8.4,31.5,26.5
15/05/1969,0,7.9,36.5,27.5
16/05/1969,0,3.9,31.5,28
17/05/1969,1,5.2,31,28
18/05/1969,4,3.8,30,27.5
19/05/1969,8.5,4.7,32,24
20/05/1969,0,2.7,30,23
21/05/1969,15,3.3,29.5,23.5
22/05/1969,0,6.6,30,23
23/05/1969,0,8.7,31,21
24/05/1969,0,7,31,21.5
25/05/1969,0,3.3,31.5,21
26/05/1969,1.5,5.4,31.5,22.5
27/05/1969,0,6.4,32,22.5
28/05/1969,29.5,4.1,32.5,22.5
29/05/1969,0,7.6,31.5,21.5
30/05/1969,0,6.9,31,21
31/05/1969,0,6.7,31.5,21.5
1/6/69,0,3.9,31.5,24
2/6/69,0,5,32,24
3/6/69,0,5.3,32,27
